x,quantizer,quantized,abs_error,rel_error
-1.000000,bf16_like,-1.000000000000,0.000000000000e0,0.000000000000e0
-1.000000,f32_like,-1.000000000000,0.000000000000e0,0.000000000000e0
-1.000000,profile_pos_fine_neg_coarse,-1.000000000000,0.000000000000e0,0.000000000000e0
-0.990000,bf16_like,-0.988281250000,1.718750000000e-3,1.736111111111e-3
-0.990000,f32_like,-0.990000009537,9.536743172944e-9,9.633073912065e-9
-0.990000,profile_pos_fine_neg_coarse,-1.000000000000,1.000000000000e-2,1.010101010101e-2
-0.980000,bf16_like,-0.980468750000,4.687500000000e-4,4.783163265306e-4
-0.980000,f32_like,-0.980000019073,1.907348634589e-8,1.946274116927e-8
-0.980000,profile_pos_fine_neg_coarse,-0.968750000000,1.125000000000e-2,1.147959183673e-2
-0.970000,bf16_like,-0.968750000000,1.250000000000e-3,1.288659793814e-3
-0.970000,f32_like,-0.970000028610,2.861022951883e-8,2.949508197818e-8
-0.970000,profile_pos_fine_neg_coarse,-0.968750000000,1.250000000000e-3,1.288659793814e-3
-0.960000,bf16_like,-0.960937500000,9.375000000000e-4,9.765625000000e-4
-0.960000,f32_like,-0.959999978542,2.145767208361e-8,2.235174175376e-8
-0.960000,profile_pos_fine_neg_coarse,-0.968750000000,8.750000000000e-3,9.114583333333e-3
-0.950000,bf16_like,-0.949218750000,7.812500000000e-4,8.223684210526e-4
-0.950000,f32_like,-0.949999988079,1.192092891067e-8,1.254834622176e-8
-0.950000,profile_pos_fine_neg_coarse,-0.937500000000,1.250000000000e-2,1.315789473684e-2
-0.940000,bf16_like,-0.941406250000,1.406250000000e-3,1.496010638298e-3
-0.940000,f32_like,-0.939999997616,2.384185737725e-9,2.536367806090e-9
-0.940000,profile_pos_fine_neg_coarse,-0.937500000000,2.500000000000e-3,2.659574468085e-3
-0.930000,bf16_like,-0.929687500000,3.124999999999e-4,3.360215053763e-4
-0.930000,f32_like,-0.930000007153,7.152557435219e-9,7.690921973354e-9
-0.930000,profile_pos_fine_neg_coarse,-0.937500000000,7.500000000000e-3,8.064516129032e-3
-0.920000,bf16_like,-0.921875000000,1.875000000000e-3,2.038043478261e-3
-0.920000,f32_like,-0.920000016689,1.668930060816e-8,1.814054413931e-8
-0.920000,profile_pos_fine_neg_coarse,-0.906250000000,1.375000000000e-2,1.494565217391e-2
-0.910000,bf16_like,-0.910156250000,1.562500000001e-4,1.717032967034e-4
-0.910000,f32_like,-0.910000026226,2.622604378111e-8,2.881982833089e-8
-0.910000,profile_pos_fine_neg_coarse,-0.906250000000,3.750000000000e-3,4.120879120879e-3
-0.900000,bf16_like,-0.898437500000,1.562500000000e-3,1.736111111111e-3
-0.900000,f32_like,-0.899999976158,2.384185782134e-8,2.649095313482e-8
-0.900000,profile_pos_fine_neg_coarse,-0.906250000000,6.250000000000e-3,6.944444444445e-3
-0.890000,bf16_like,-0.890625000000,6.250000000001e-4,7.022471910113e-4
-0.890000,f32_like,-0.889999985695,1.430511464839e-8,1.607316252629e-8
-0.890000,profile_pos_fine_neg_coarse,-0.875000000000,1.500000000000e-2,1.685393258427e-2
-0.880000,bf16_like,-0.878906250000,1.093750000000e-3,1.242897727273e-3
-0.880000,f32_like,-0.879999995232,4.768371475450e-9,5.418603949375e-9
-0.880000,profile_pos_fine_neg_coarse,-0.875000000000,5.000000000000e-3,5.681818181818e-3
-0.870000,bf16_like,-0.871093750000,1.093750000000e-3,1.257183908046e-3
-0.870000,f32_like,-0.870000004768,4.768371697494e-9,5.480887008614e-9
-0.870000,profile_pos_fine_neg_coarse,-0.875000000000,5.000000000000e-3,5.747126436782e-3
-0.860000,bf16_like,-0.859375000000,6.249999999999e-4,7.267441860464e-4
-0.860000,f32_like,-0.860000014305,1.430511487044e-8,1.663385450051e-8
-0.860000,profile_pos_fine_neg_coarse,-0.875000000000,1.500000000000e-2,1.744186046512e-2
-0.850000,bf16_like,-0.851562500000,1.562500000000e-3,1.838235294118e-3
-0.850000,f32_like,-0.850000023842,2.384185804338e-8,2.804924475692e-8
-0.850000,profile_pos_fine_neg_coarse,-0.843750000000,6.250000000000e-3,7.352941176470e-3
-0.840000,bf16_like,-0.839843750000,1.562499999999e-4,1.860119047617e-4
-0.840000,f32_like,-0.839999973774,2.622604355906e-8,3.122148042746e-8
-0.840000,profile_pos_fine_neg_coarse,-0.843750000000,3.750000000000e-3,4.464285714286e-3
-0.830000,bf16_like,-0.828125000000,1.875000000000e-3,2.259036144578e-3
-0.830000,f32_like,-0.829999983311,1.668930038612e-8,2.010759082665e-8
-0.830000,profile_pos_fine_neg_coarse,-0.843750000000,1.375000000000e-2,1.656626506024e-2
-0.820000,bf16_like,-0.820312500000,3.125000000002e-4,3.810975609758e-4
-0.820000,f32_like,-0.819999992847,7.152557213175e-9,8.722630747774e-9
-0.820000,profile_pos_fine_neg_coarse,-0.812500000000,7.500000000000e-3,9.146341463414e-3
-0.810000,bf16_like,-0.808593750000,1.406250000000e-3,1.736111111111e-3
-0.810000,f32_like,-0.810000002384,2.384185959770e-9,2.943439456506e-9
-0.810000,profile_pos_fine_neg_coarse,-0.812500000000,2.500000000000e-3,3.086419753087e-3
