format,k,x,quantized,abs_error,rel_error
tiny8,-20.000000,9.9999999999999995e-21,0.0000000000000000e0,9.9999999999999995e-21,1.0000000000000000e0
tiny8,-19.900000,1.2589254117941713e-20,0.0000000000000000e0,1.2589254117941713e-20,1.0000000000000000e0
tiny8,-19.800000,1.5848931924611240e-20,0.0000000000000000e0,1.5848931924611240e-20,1.0000000000000000e0
tiny8,-19.700000,1.9952623149688993e-20,0.0000000000000000e0,1.9952623149688993e-20,1.0000000000000000e0
tiny8,-19.600000,2.5118864315096130e-20,0.0000000000000000e0,2.5118864315096130e-20,1.0000000000000000e0
tiny8,-19.500000,3.1622776601684310e-20,0.0000000000000000e0,3.1622776601684310e-20,1.0000000000000000e0
tiny8,-19.400000,3.9810717055350505e-20,0.0000000000000000e0,3.9810717055350505e-20,1.0000000000000000e0
tiny8,-19.300000,5.0118723362728377e-20,0.0000000000000000e0,5.0118723362728377e-20,1.0000000000000000e0
tiny8,-19.200000,6.3095734448020972e-20,0.0000000000000000e0,6.3095734448020972e-20,1.0000000000000000e0
tiny8,-19.100000,7.9432823472430495e-20,0.0000000000000000e0,7.9432823472430495e-20,1.0000000000000000e0
tiny8,-19.000000,1.0000000000000327e-19,0.0000000000000000e0,1.0000000000000327e-19,1.0000000000000000e0
tiny8,-18.900000,1.2589254117942125e-19,0.0000000000000000e0,1.2589254117942125e-19,1.0000000000000000e0
tiny8,-18.800000,1.5848931924611756e-19,0.0000000000000000e0,1.5848931924611756e-19,1.0000000000000000e0
tiny8,-18.700000,1.9952623149689646e-19,0.0000000000000000e0,1.9952623149689646e-19,1.0000000000000000e0
tiny8,-18.600000,2.5118864315096954e-19,0.0000000000000000e0,2.5118864315096954e-19,1.0000000000000000e0
tiny8,-18.500000,3.1622776601685346e-19,0.0000000000000000e0,3.1622776601685346e-19,1.0000000000000000e0
tiny8,-18.400000,3.9810717055351808e-19,0.0000000000000000e0,3.9810717055351808e-19,1.0000000000000000e0
tiny8,-18.300000,5.0118723362730019e-19,0.0000000000000000e0,5.0118723362730019e-19,1.0000000000000000e0
tiny8,-18.200000,6.3095734448023043e-19,0.0000000000000000e0,6.3095734448023043e-19,1.0000000000000000e0
tiny8,-18.100000,7.9432823472433090e-19,0.0000000000000000e0,7.9432823472433090e-19,1.0000000000000000e0
tiny8,-18.000000,1.0000000000000654e-18,0.0000000000000000e0,1.0000000000000654e-18,1.0000000000000000e0
